lang,problem,model,experiment,pass@1,pass@10,pass@100
cpp,HumanEval_36_fizz_buzz,incoder,transform,0.00,NA,NA
scala,HumanEval_28_concatenate,davinci,transform,0.99,NA,NA
py,HumanEval_45_triangle_area,davinci,remove,1.00,NA,NA
d,HumanEval_14_all_prefixes,davinci,remove,0.00,NA,NA
rs,HumanEval_35_max_element,incoder,remove,0.05,NA,NA
jl,HumanEval_100_make_a_pile,davinci,remove,0.00,NA,NA
d,HumanEval_147_get_max_triples,davinci,reworded,0.23,0.52,1.00
ts,HumanEval_127_intersection,incoder,remove,0.01,NA,NA
r,HumanEval_134_check_if_last_char_is_a_letter,davinci,transform,0.01,NA,NA
sh,HumanEval_88_sort_array,davinci,keep,0.14,NA,NA
scala,HumanEval_135_can_arrange,davinci,keep,0.06,NA,NA
php,HumanEval_46_fib4,incoder,transform,0.03,NA,NA
java,HumanEval_96_count_up_to,davinci,keep,0.39,NA,NA
pl,HumanEval_141_file_name_check,davinci,keep,0.08,NA,NA
jl,HumanEval_61_correct_bracketing,davinci,keep,0.74,NA,NA
sh,HumanEval_156_int_to_mini_roman,davinci,keep,0.06,NA,NA
d,HumanEval_132_is_nested,incoder,transform,0.00,NA,NA
php,HumanEval_144_simplify,davinci,keep,0.22,NA,NA
go,HumanEval_146_specialFilter,davinci,keep,0.00,NA,NA
go,HumanEval_106_f,davinci,reworded,0.00,0.73,1.00
swift,HumanEval_42_incr_list,incoder,reworded,0.98,0.98,1.00
d,HumanEval_59_largest_prime_factor,davinci,keep,0.92,NA,NA
rkt,HumanEval_136_largest_smallest_integers,incoder,reworded,0.00,0.00,0.00
js,HumanEval_93_encode,incoder,transform,0.00,NA,NA
scala,HumanEval_98_count_upper,incoder,transform,0.00,NA,NA
php,HumanEval_161_solve,davinci,keep,0.14,NA,NA
php,HumanEval_23_strlen,incoder,keep,0.00,NA,NA
cpp,HumanEval_142_sum_squares,davinci,reworded,1.00,1.00,1.00
rkt,HumanEval_90_next_smallest,incoder,keep,0.00,NA,NA
java,HumanEval_35_max_element,incoder,keep,1.00,NA,NA
java,HumanEval_141_file_name_check,davinci,remove,0.41,NA,NA
d,HumanEval_7_filter_by_substring,incoder,transform,0.00,NA,NA
java,HumanEval_22_filter_integers,davinci,remove,1.00,NA,NA
scala,HumanEval_20_find_closest_elements,incoder,remove,0.00,NA,NA
rkt,HumanEval_109_move_one_ball,incoder,remove,0.00,NA,NA
py,HumanEval_68_pluck,davinci,transform,0.94,NA,NA
lua,HumanEval_6_parse_nested_parens,incoder,remove,0.00,NA,NA
rb,HumanEval_3_below_zero,incoder,reworded,0.00,0.00,0.00
scala,HumanEval_117_select_words,davinci,reworded,0.01,0.64,1.00
cs,HumanEval_64_vowels_count,davinci,keep,0.00,NA,NA
ts,HumanEval_110_exchange,incoder,transform,0.00,NA,NA
py,HumanEval_122_add_elements,incoder,keep,0.00,NA,NA
sh,HumanEval_47_median,davinci,transform,0.09,NA,NA
py,HumanEval_80_is_happy,davinci,transform,0.93,NA,NA
php,HumanEval_95_check_dict_case,incoder,transform,0.00,NA,NA
cpp,HumanEval_25_factorize,davinci,reworded,1.00,1.00,1.00
cpp,HumanEval_115_max_fill,incoder,transform,0.00,NA,NA
rs,HumanEval_95_check_dict_case,davinci,transform,0.02,NA,NA
cpp,HumanEval_77_iscube,incoder,reworded,0.00,0.00,0.00
js,HumanEval_23_strlen,incoder,keep,0.99,NA,NA
ts,HumanEval_4_mean_absolute_deviation,incoder,reworded,0.06,0.27,0.99
php,HumanEval_54_same_chars,incoder,keep,0.00,NA,NA
sh,HumanEval_27_flip_case,davinci,transform,0.03,NA,NA
lua,HumanEval_70_strange_sort_list,incoder,transform,0.00,NA,NA
go,HumanEval_81_numerical_letter_grade,davinci,remove,0.05,NA,NA
jl,HumanEval_118_get_closest_vowel,davinci,remove,0.00,NA,NA
r,HumanEval_49_modp,davinci,remove,0.01,NA,NA
scala,HumanEval_93_encode,incoder,transform,0.00,NA,NA
r,HumanEval_26_remove_duplicates,incoder,reworded,0.00,0.05,0.50
ts,HumanEval_139_special_factorial,davinci,transform,0.00,NA,NA
php,HumanEval_155_even_odd_count,davinci,reworded,0.01,0.93,1.00
pl,HumanEval_103_rounded_avg,incoder,remove,0.00,NA,NA
ts,HumanEval_35_max_element,incoder,reworded,1.00,1.00,1.00
jl,HumanEval_77_iscube,incoder,remove,0.00,NA,NA
go,HumanEval_135_can_arrange,incoder,transform,0.00,NA,NA
js,HumanEval_1_separate_paren_groups,incoder,keep,0.00,NA,NA
cs,HumanEval_18_how_many_times,incoder,keep,0.00,NA,NA
lua,HumanEval_152_compare,davinci,keep,1.00,NA,NA
sh,HumanEval_59_largest_prime_factor,davinci,transform,0.72,NA,NA
sh,HumanEval_110_exchange,davinci,keep,0.06,NA,NA
php,HumanEval_76_is_simple_power,incoder,remove,0.00,NA,NA
sh,HumanEval_78_hex_key,incoder,transform,0.00,NA,NA
rkt,HumanEval_81_numerical_letter_grade,davinci,transform,0.00,NA,NA
r,HumanEval_156_int_to_mini_roman,incoder,reworded,0.00,0.00,0.00
ts,HumanEval_150_x_or_y,incoder,transform,0.00,NA,NA
pl,HumanEval_35_max_element,incoder,transform,0.95,NA,NA
sh,HumanEval_6_parse_nested_parens,davinci,reworded,0.34,0.55,1.00
d,HumanEval_123_get_odd_collatz,incoder,keep,0.00,NA,NA
r,HumanEval_125_split_words,incoder,transform,0.00,NA,NA
jl,HumanEval_128_prod_signs,davinci,keep,0.88,NA,NA
lua,HumanEval_112_reverse_delete,incoder,transform,0.00,NA,NA
r,HumanEval_123_get_odd_collatz,davinci,keep,0.07,NA,NA
rb,HumanEval_124_valid_date,incoder,transform,0.00,NA,NA
js,HumanEval_145_order_by_points,davinci,remove,0.00,NA,NA
cpp,HumanEval_96_count_up_to,davinci,remove,0.03,NA,NA
go,HumanEval_138_is_equal_to_sum_even,incoder,remove,0.00,NA,NA
rb,HumanEval_146_specialFilter,incoder,keep,0.00,NA,NA
pl,HumanEval_139_special_factorial,incoder,keep,0.03,NA,NA
cs,HumanEval_5_intersperse,incoder,transform,0.00,NA,NA
swift,HumanEval_76_is_simple_power,incoder,remove,0.00,NA,NA
rs,HumanEval_25_factorize,incoder,keep,0.00,NA,NA
sh,HumanEval_160_do_algebra,davinci,keep,0.00,NA,NA
swift,HumanEval_153_Strongest_Extension,incoder,keep,0.00,NA,NA
ts,HumanEval_60_sum_to_n,davinci,remove,1.00,NA,NA
r,HumanEval_74_total_match,incoder,remove,0.00,NA,NA
js,HumanEval_115_max_fill,davinci,remove,0.02,NA,NA
pl,HumanEval_95_check_dict_case,davinci,remove,0.00,NA,NA
js,HumanEval_149_sorted_list_sum,davinci,transform,0.07,NA,NA
py,HumanEval_5_intersperse,incoder,reworded,0.00,0.19,0.94
lua,HumanEval_34_unique,incoder,reworded,0.00,0.00,0.00
rb,HumanEval_14_all_prefixes,davinci,reworded,1.00,1.00,1.00
rb,HumanEval_143_words_in_sentence,davinci,reworded,0.00,0.47,1.00
r,HumanEval_120_maximum,incoder,transform,0.00,NA,NA
sh,HumanEval_43_pairs_sum_to_zero,davinci,keep,0.00,NA,NA
swift,HumanEval_155_even_odd_count,incoder,transform,0.00,NA,NA
swift,HumanEval_7_filter_by_substring,incoder,transform,0.23,NA,NA
d,HumanEval_55_fib,incoder,keep,0.09,NA,NA
rs,HumanEval_54_same_chars,incoder,keep,0.00,NA,NA
go,HumanEval_80_is_happy,incoder,remove,0.01,NA,NA
ts,HumanEval_54_same_chars,davinci,keep,0.01,NA,NA
go,HumanEval_76_is_simple_power,incoder,reworded,0.00,0.00,0.00
go,HumanEval_74_total_match,incoder,keep,0.00,NA,NA
go,HumanEval_156_int_to_mini_roman,incoder,transform,0.00,NA,NA
java,HumanEval_16_count_distinct_characters,davinci,transform,0.53,NA,NA
sh,HumanEval_80_is_happy,incoder,remove,0.00,NA,NA
rb,HumanEval_53_add,davinci,remove,1.00,NA,NA
cs,HumanEval_93_encode,incoder,keep,0.00,NA,NA
java,HumanEval_51_remove_vowels,davinci,keep,0.77,NA,NA
rkt,HumanEval_136_largest_smallest_integers,incoder,remove,0.00,NA,NA
r,HumanEval_130_tri,incoder,keep,0.00,NA,NA
cpp,HumanEval_58_common,incoder,reworded,0.00,0.38,1.00
php,HumanEval_97_multiply,davinci,reworded,0.76,0.99,1.00
lua,HumanEval_124_valid_date,davinci,keep,0.59,NA,NA
jl,HumanEval_61_correct_bracketing,davinci,remove,0.71,NA,NA
go,HumanEval_42_incr_list,incoder,reworded,0.84,1.00,1.00
swift,HumanEval_9_rolling_max,davinci,keep,0.32,NA,NA
lua,HumanEval_35_max_element,davinci,transform,0.99,NA,NA
rkt,HumanEval_145_order_by_points,incoder,keep,0.00,NA,NA
rb,HumanEval_103_rounded_avg,incoder,transform,0.00,NA,NA
rkt,HumanEval_47_median,davinci,transform,0.00,NA,NA
cs,HumanEval_66_digitSum,incoder,keep,0.38,NA,NA
jl,HumanEval_59_largest_prime_factor,incoder,keep,0.00,NA,NA
cpp,HumanEval_115_max_fill,incoder,remove,0.00,NA,NA
rkt,HumanEval_58_common,davinci,remove,0.01,NA,NA
rkt,HumanEval_138_is_equal_to_sum_even,davinci,transform,0.02,NA,NA
scala,HumanEval_5_intersperse,davinci,reworded,0.99,1.00,1.00
java,HumanEval_153_Strongest_Extension,incoder,transform,0.00,NA,NA
jl,HumanEval_129_minPath,incoder,transform,0.00,NA,NA
r,HumanEval_33_sort_third,davinci,reworded,0.38,0.71,1.00
py,HumanEval_5_intersperse,davinci,transform,0.94,NA,NA
java,HumanEval_124_valid_date,incoder,transform,0.19,NA,NA
go,HumanEval_160_do_algebra,incoder,reworded,0.00,0.00,0.00
r,HumanEval_6_parse_nested_parens,davinci,transform,0.01,NA,NA
php,HumanEval_79_decimal_to_binary,davinci,reworded,0.66,0.99,1.00
sh,HumanEval_158_find_max,davinci,transform,0.02,NA,NA
d,HumanEval_152_compare,incoder,transform,0.00,NA,NA
js,HumanEval_30_get_positive,davinci,remove,1.00,NA,NA
rs,HumanEval_121_solution,davinci,remove,0.89,NA,NA
r,HumanEval_119_match_parens,incoder,transform,0.00,NA,NA
rb,HumanEval_148_bf,davinci,remove,0.02,NA,NA
r,HumanEval_122_add_elements,incoder,remove,0.00,NA,NA
go,HumanEval_54_same_chars,davinci,keep,0.00,NA,NA
js,HumanEval_15_string_sequence,davinci,remove,0.05,NA,NA
pl,HumanEval_161_solve,incoder,remove,0.00,NA,NA
rkt,HumanEval_120_maximum,incoder,reworded,0.00,0.00,0.00
java,HumanEval_57_monotonic,incoder,keep,0.03,NA,NA
cpp,HumanEval_87_get_row,incoder,remove,0.00,NA,NA
pl,HumanEval_106_f,incoder,remove,0.02,NA,NA
ts,HumanEval_153_Strongest_Extension,davinci,remove,0.00,NA,NA
go,HumanEval_148_bf,incoder,keep,0.00,NA,NA
cs,HumanEval_163_generate_integers,davinci,reworded,0.00,0.00,0.00
jl,HumanEval_48_is_palindrome,incoder,reworded,0.00,0.27,0.99
js,HumanEval_121_solution,incoder,keep,0.00,NA,NA
java,HumanEval_54_same_chars,davinci,transform,0.00,NA,NA
swift,HumanEval_2_truncate_number,incoder,reworded,0.17,0.31,0.99
swift,HumanEval_153_Strongest_Extension,davinci,remove,0.00,NA,NA
rb,HumanEval_126_is_sorted,incoder,reworded,0.00,0.00,0.00
cs,HumanEval_25_factorize,incoder,reworded,0.00,0.00,0.00
cs,HumanEval_71_triangle_area,davinci,remove,0.32,NA,NA
py,HumanEval_16_count_distinct_characters,incoder,keep,0.00,NA,NA
jl,HumanEval_44_change_base,incoder,reworded,0.00,0.00,0.00
scala,HumanEval_101_words_string,incoder,transform,0.01,NA,NA
swift,HumanEval_122_add_elements,davinci,transform,0.99,NA,NA
cpp,HumanEval_82_prime_length,incoder,keep,0.00,NA,NA
rs,HumanEval_158_find_max,incoder,reworded,0.00,0.00,0.00
rkt,HumanEval_70_strange_sort_list,davinci,transform,0.01,NA,NA
sh,HumanEval_157_right_angle_triangle,davinci,transform,0.60,NA,NA
rb,HumanEval_160_do_algebra,incoder,reworded,0.00,0.00,0.00
go,HumanEval_104_unique_digits,davinci,keep,0.00,NA,NA
swift,HumanEval_139_special_factorial,davinci,keep,0.00,NA,NA
go,HumanEval_115_max_fill,davinci,transform,0.00,NA,NA
lua,HumanEval_123_get_odd_collatz,davinci,keep,0.00,NA,NA
swift,HumanEval_149_sorted_list_sum,incoder,reworded,0.00,0.00,0.00
scala,HumanEval_18_how_many_times,davinci,keep,0.85,NA,NA
r,HumanEval_102_choose_num,incoder,keep,0.00,NA,NA
cpp,HumanEval_78_hex_key,davinci,transform,0.82,NA,NA
rb,HumanEval_54_same_chars,davinci,transform,0.00,NA,NA
lua,HumanEval_18_how_many_times,incoder,reworded,0.00,0.00,0.00
rb,HumanEval_56_correct_bracketing,incoder,transform,0.00,NA,NA
js,HumanEval_17_parse_music,davinci,remove,0.65,NA,NA
scala,HumanEval_163_generate_integers,davinci,keep,0.00,NA,NA
lua,HumanEval_154_cycpattern_check,incoder,keep,0.00,NA,NA
r,HumanEval_105_by_length,davinci,remove,0.00,NA,NA
d,HumanEval_95_check_dict_case,incoder,reworded,0.00,0.00,0.00
cpp,HumanEval_67_fruit_distribution,davinci,keep,0.06,NA,NA
sh,HumanEval_137_compare_one,davinci,transform,0.19,NA,NA
d,HumanEval_65_circular_shift,incoder,remove,0.00,NA,NA
go,HumanEval_147_get_max_triples,incoder,transform,0.00,NA,NA
go,HumanEval_126_is_sorted,incoder,transform,0.00,NA,NA
rb,HumanEval_39_prime_fib,incoder,transform,0.00,NA,NA
java,HumanEval_163_generate_integers,incoder,keep,0.00,NA,NA
cs,HumanEval_76_is_simple_power,davinci,keep,0.38,NA,NA
sh,HumanEval_12_longest,davinci,transform,0.52,NA,NA
php,HumanEval_92_any_int,incoder,keep,0.00,NA,NA
ts,HumanEval_127_intersection,incoder,reworded,0.01,0.05,0.50
rb,HumanEval_3_below_zero,incoder,transform,0.00,NA,NA
rs,HumanEval_94_skjkasdkd,davinci,remove,0.03,NA,NA
sh,HumanEval_152_compare,davinci,remove,0.32,NA,NA
go,HumanEval_45_triangle_area,davinci,remove,1.00,NA,NA
d,HumanEval_24_largest_divisor,incoder,reworded,0.14,0.05,0.50
cs,HumanEval_130_tri,davinci,reworded,0.00,0.00,0.00
cs,HumanEval_20_find_closest_elements,incoder,reworded,0.00,0.05,0.50
d,HumanEval_163_generate_integers,incoder,transform,0.00,NA,NA
go,HumanEval_14_all_prefixes,incoder,remove,0.03,NA,NA
ts,HumanEval_78_hex_key,incoder,remove,0.00,NA,NA
pl,HumanEval_1_separate_paren_groups,davinci,remove,0.00,NA,NA
pl,HumanEval_71_triangle_area,incoder,remove,0.00,NA,NA
php,HumanEval_10_make_palindrome,incoder,remove,0.00,NA,NA
rb,HumanEval_89_encrypt,davinci,remove,0.06,NA,NA
rkt,HumanEval_127_intersection,davinci,remove,0.03,NA,NA
r,HumanEval_98_count_upper,davinci,reworded,0.00,0.05,0.50
java,HumanEval_88_sort_array,incoder,transform,0.00,NA,NA
go,HumanEval_148_bf,davinci,transform,0.00,NA,NA
rkt,HumanEval_106_f,davinci,remove,0.00,NA,NA
scala,HumanEval_19_sort_numbers,davinci,reworded,0.00,0.50,1.00
py,HumanEval_82_prime_length,davinci,keep,0.10,NA,NA
java,HumanEval_5_intersperse,incoder,reworded,0.14,0.77,1.00
rkt,HumanEval_98_count_upper,davinci,remove,0.05,NA,NA
php,HumanEval_96_count_up_to,incoder,keep,0.00,NA,NA
scala,HumanEval_78_hex_key,incoder,remove,0.00,NA,NA
rb,HumanEval_51_remove_vowels,incoder,reworded,0.00,0.57,1.00
sh,HumanEval_154_cycpattern_check,davinci,transform,0.03,NA,NA
scala,HumanEval_81_numerical_letter_grade,incoder,reworded,0.00,0.00,0.00
rb,HumanEval_123_get_odd_collatz,incoder,reworded,0.00,0.00,0.00
lua,HumanEval_94_skjkasdkd,davinci,keep,0.59,NA,NA
lua,HumanEval_141_file_name_check,davinci,keep,0.06,NA,NA
php,HumanEval_140_fix_spaces,davinci,transform,0.00,NA,NA
cs,HumanEval_40_triples_sum_to_zero,incoder,remove,0.00,NA,NA
go,HumanEval_28_concatenate,davinci,remove,1.00,NA,NA
py,HumanEval_111_histogram,incoder,keep,0.00,NA,NA
go,HumanEval_133_sum_squares,incoder,transform,0.00,NA,NA
rkt,HumanEval_53_add,davinci,transform,1.00,NA,NA
r,HumanEval_23_strlen,davinci,keep,0.50,NA,NA
py,HumanEval_5_intersperse,davinci,remove,0.97,NA,NA
rs,HumanEval_14_all_prefixes,davinci,remove,0.04,NA,NA
swift,HumanEval_72_will_it_fly,incoder,transform,0.00,NA,NA
r,HumanEval_20_find_closest_elements,davinci,reworded,0.23,0.85,1.00
sh,HumanEval_75_is_multiply_prime,incoder,reworded,0.00,0.00,0.00
lua,HumanEval_105_by_length,davinci,transform,0.07,NA,NA
ts,HumanEval_63_fibfib,davinci,reworded,0.98,1.00,1.00
rkt,HumanEval_147_get_max_triples,davinci,transform,0.10,NA,NA
rkt,HumanEval_129_minPath,davinci,transform,0.00,NA,NA
php,HumanEval_53_add,davinci,keep,0.99,NA,NA
js,HumanEval_58_common,incoder,transform,0.00,NA,NA
r,HumanEval_127_intersection,davinci,remove,0.00,NA,NA
d,HumanEval_67_fruit_distribution,incoder,keep,0.00,NA,NA
rb,HumanEval_105_by_length,incoder,remove,0.00,NA,NA
r,HumanEval_90_next_smallest,davinci,reworded,0.37,0.96,1.00
swift,HumanEval_95_check_dict_case,davinci,remove,0.01,NA,NA
lua,HumanEval_152_compare,davinci,reworded,1.00,1.00,1.00
ts,HumanEval_36_fizz_buzz,davinci,transform,0.95,NA,NA
go,HumanEval_76_is_simple_power,davinci,remove,0.51,NA,NA
d,HumanEval_27_flip_case,davinci,transform,0.00,NA,NA
cs,HumanEval_30_get_positive,davinci,remove,0.00,NA,NA
rb,HumanEval_3_below_zero,incoder,remove,0.00,NA,NA
js,HumanEval_69_search,davinci,reworded,0.52,1.00,1.00
go,HumanEval_153_Strongest_Extension,incoder,transform,0.00,NA,NA
lua,HumanEval_104_unique_digits,incoder,keep,0.00,NA,NA
lua,HumanEval_124_valid_date,incoder,transform,0.14,NA,NA
rkt,HumanEval_157_right_angle_triangle,davinci,remove,0.06,NA,NA
sh,HumanEval_27_flip_case,incoder,reworded,0.00,0.10,0.75
cpp,HumanEval_55_fib,incoder,keep,0.87,NA,NA
py,HumanEval_44_change_base,incoder,transform,0.82,NA,NA
rb,HumanEval_23_strlen,incoder,reworded,1.00,1.00,1.00
swift,HumanEval_24_largest_divisor,incoder,reworded,0.01,0.23,0.97
rb,HumanEval_140_fix_spaces,incoder,remove,0.00,NA,NA
rkt,HumanEval_51_remove_vowels,davinci,remove,0.01,NA,NA
pl,HumanEval_140_fix_spaces,davinci,remove,0.00,NA,NA
r,HumanEval_27_flip_case,incoder,transform,0.00,NA,NA
ts,HumanEval_134_check_if_last_char_is_a_letter,incoder,remove,0.00,NA,NA
sh,HumanEval_149_sorted_list_sum,davinci,keep,0.00,NA,NA
rkt,HumanEval_56_correct_bracketing,incoder,keep,0.00,NA,NA
java,HumanEval_111_histogram,incoder,transform,0.00,NA,NA
swift,HumanEval_60_sum_to_n,incoder,keep,0.00,NA,NA
jl,HumanEval_54_same_chars,davinci,remove,0.00,NA,NA
go,HumanEval_93_encode,incoder,reworded,0.00,0.00,0.00
rs,HumanEval_126_is_sorted,incoder,keep,0.00,NA,NA
rs,HumanEval_119_match_parens,incoder,keep,0.00,NA,NA
swift,HumanEval_135_can_arrange,davinci,keep,0.02,NA,NA
go,HumanEval_95_check_dict_case,incoder,reworded,0.00,0.00,0.00
rb,HumanEval_36_fizz_buzz,incoder,keep,0.00,NA,NA
php,HumanEval_49_modp,davinci,transform,0.02,NA,NA
scala,HumanEval_25_factorize,incoder,transform,0.00,NA,NA
java,HumanEval_5_intersperse,davinci,transform,1.00,NA,NA
cs,HumanEval_9_rolling_max,incoder,transform,0.00,NA,NA
r,HumanEval_55_fib,incoder,remove,0.10,NA,NA
rb,HumanEval_151_double_the_difference,incoder,remove,0.01,NA,NA
java,HumanEval_48_is_palindrome,incoder,remove,0.67,NA,NA
d,HumanEval_14_all_prefixes,incoder,reworded,0.00,0.00,0.00
js,HumanEval_130_tri,incoder,remove,0.00,NA,NA
sh,HumanEval_99_closest_integer,davinci,reworded,0.01,0.44,1.00
rkt,HumanEval_35_max_element,incoder,remove,0.14,NA,NA
js,HumanEval_108_count_nums,davinci,keep,0.00,NA,NA
sh,HumanEval_86_anti_shuffle,incoder,keep,0.00,NA,NA
rkt,HumanEval_41_car_race_collision,davinci,reworded,0.00,0.05,0.50
pl,HumanEval_17_parse_music,incoder,reworded,0.00,0.10,0.75
py,HumanEval_78_hex_key,davinci,reworded,0.97,1.00,1.00
pl,HumanEval_108_count_nums,davinci,keep,0.00,NA,NA
js,HumanEval_97_multiply,incoder,reworded,0.00,0.00,0.00
lua,HumanEval_40_triples_sum_to_zero,incoder,keep,0.00,NA,NA
rkt,HumanEval_41_car_race_collision,incoder,keep,0.00,NA,NA
py,HumanEval_59_largest_prime_factor,incoder,transform,0.74,NA,NA
py,HumanEval_155_even_odd_count,incoder,remove,0.00,NA,NA
scala,HumanEval_158_find_max,incoder,reworded,0.00,0.00,0.00
py,HumanEval_146_specialFilter,incoder,keep,0.00,NA,NA
go,HumanEval_159_eat,incoder,transform,0.00,NA,NA
rkt,HumanEval_80_is_happy,incoder,keep,0.00,NA,NA
js,HumanEval_14_all_prefixes,davinci,remove,1.00,NA,NA
php,HumanEval_31_is_prime,davinci,transform,0.99,NA,NA
lua,HumanEval_89_encrypt,davinci,remove,0.45,NA,NA
lua,HumanEval_33_sort_third,davinci,remove,0.00,NA,NA
py,HumanEval_97_multiply,davinci,reworded,0.20,1.00,1.00
rkt,HumanEval_39_prime_fib,incoder,remove,0.00,NA,NA
py,HumanEval_100_make_a_pile,incoder,reworded,0.00,0.00,0.00
java,HumanEval_158_find_max,incoder,transform,0.00,NA,NA
js,HumanEval_25_factorize,incoder,reworded,0.02,0.10,0.75
d,HumanEval_87_get_row,davinci,keep,0.00,NA,NA
d,HumanEval_152_compare,incoder,reworded,0.00,0.14,0.88
r,HumanEval_9_rolling_max,incoder,keep,0.00,NA,NA
swift,HumanEval_19_sort_numbers,incoder,transform,0.00,NA,NA
d,HumanEval_66_digitSum,davinci,remove,0.94,NA,NA
scala,HumanEval_161_solve,davinci,remove,0.14,NA,NA
js,HumanEval_118_get_closest_vowel,davinci,remove,0.02,NA,NA
d,HumanEval_110_exchange,davinci,transform,0.03,NA,NA
java,HumanEval_43_pairs_sum_to_zero,incoder,transform,0.00,NA,NA
d,HumanEval_100_make_a_pile,davinci,reworded,0.18,0.34,1.00
py,HumanEval_13_greatest_common_divisor,davinci,transform,1.00,NA,NA
rs,HumanEval_91_is_bored,incoder,remove,0.00,NA,NA
rkt,HumanEval_69_search,incoder,transform,0.00,NA,NA
sh,HumanEval_99_closest_integer,davinci,remove,0.02,NA,NA
go,HumanEval_57_monotonic,incoder,transform,0.00,NA,NA
r,HumanEval_142_sum_squares,davinci,remove,0.00,NA,NA
py,HumanEval_27_flip_case,incoder,transform,0.33,NA,NA
cs,HumanEval_47_median,davinci,remove,0.70,NA,NA
rs,HumanEval_18_how_many_times,incoder,transform,0.00,NA,NA
cpp,HumanEval_142_sum_squares,incoder,reworded,0.00,0.14,0.88
cs,HumanEval_13_greatest_common_divisor,davinci,reworded,1.00,1.00,1.00
r,HumanEval_143_words_in_sentence,incoder,transform,0.00,NA,NA
sh,HumanEval_9_rolling_max,davinci,transform,0.36,NA,NA
rkt,HumanEval_25_factorize,davinci,reworded,0.78,0.75,1.00
d,HumanEval_152_compare,davinci,keep,1.00,NA,NA
jl,HumanEval_131_digits,incoder,remove,0.00,NA,NA
ts,HumanEval_10_make_palindrome,incoder,reworded,0.00,0.00,0.00
rb,HumanEval_163_generate_integers,davinci,transform,0.00,NA,NA
swift,HumanEval_5_intersperse,incoder,remove,0.00,NA,NA
jl,HumanEval_139_special_factorial,incoder,transform,0.00,NA,NA
pl,HumanEval_134_check_if_last_char_is_a_letter,davinci,keep,0.00,NA,NA
js,HumanEval_71_triangle_area,incoder,remove,0.00,NA,NA
py,HumanEval_60_sum_to_n,incoder,transform,1.00,NA,NA
php,HumanEval_37_sort_even,incoder,reworded,0.00,0.00,0.00
cs,HumanEval_154_cycpattern_check,incoder,reworded,0.00,0.00,0.00
rs,HumanEval_141_file_name_check,davinci,remove,0.03,NA,NA
java,HumanEval_45_triangle_area,incoder,transform,0.04,NA,NA
lua,HumanEval_111_histogram,davinci,remove,0.00,NA,NA
rb,HumanEval_111_histogram,incoder,remove,0.00,NA,NA
js,HumanEval_57_monotonic,incoder,reworded,0.00,0.00,0.00
scala,HumanEval_133_sum_squares,incoder,reworded,0.00,0.00,0.00
php,HumanEval_45_triangle_area,incoder,remove,0.00,NA,NA
rb,HumanEval_6_parse_nested_parens,davinci,keep,0.08,NA,NA
d,HumanEval_107_even_odd_palindrome,incoder,remove,0.00,NA,NA
rb,HumanEval_128_prod_signs,incoder,reworded,0.00,0.00,0.00
java,HumanEval_131_digits,davinci,transform,0.00,NA,NA
jl,HumanEval_3_below_zero,davinci,keep,1.00,NA,NA
cpp,HumanEval_149_sorted_list_sum,incoder,transform,0.00,NA,NA
java,HumanEval_133_sum_squares,incoder,remove,0.38,NA,NA
scala,HumanEval_6_parse_nested_parens,davinci,keep,0.90,NA,NA
py,HumanEval_7_filter_by_substring,incoder,remove,1.00,NA,NA
ts,HumanEval_145_order_by_points,incoder,remove,0.00,NA,NA
java,HumanEval_96_count_up_to,davinci,remove,0.06,NA,NA
cs,HumanEval_46_fib4,davinci,remove,0.26,NA,NA
swift,HumanEval_42_incr_list,davinci,keep,0.95,NA,NA
java,HumanEval_105_by_length,incoder,reworded,0.00,0.00,0.00
ts,HumanEval_129_minPath,davinci,keep,0.00,NA,NA
rs,HumanEval_40_triples_sum_to_zero,incoder,reworded,0.00,0.00,0.00
rb,HumanEval_1_separate_paren_groups,davinci,reworded,0.01,0.62,1.00
go,HumanEval_100_make_a_pile,incoder,transform,0.00,NA,NA
sh,HumanEval_157_right_angle_triangle,incoder,keep,0.00,NA,NA
php,HumanEval_125_split_words,davinci,keep,0.01,NA,NA
js,HumanEval_161_solve,davinci,reworded,0.02,0.97,1.00
cpp,HumanEval_24_largest_divisor,davinci,remove,0.95,NA,NA
cs,HumanEval_11_string_xor,davinci,remove,0.78,NA,NA
swift,HumanEval_52_below_threshold,davinci,reworded,0.93,1.00,1.00
r,HumanEval_139_special_factorial,davinci,keep,0.01,NA,NA
scala,HumanEval_26_remove_duplicates,davinci,reworded,0.38,0.98,1.00
py,HumanEval_45_triangle_area,incoder,remove,0.75,NA,NA
rkt,HumanEval_144_simplify,davinci,remove,0.02,NA,NA
pl,HumanEval_161_solve,incoder,keep,0.00,NA,NA
rkt,HumanEval_118_get_closest_vowel,incoder,reworded,0.00,0.00,0.00
rkt,HumanEval_83_starts_one_ends,davinci,transform,0.00,NA,NA
rs,HumanEval_70_strange_sort_list,davinci,remove,0.00,NA,NA
php,HumanEval_133_sum_squares,davinci,keep,0.00,NA,NA
php,HumanEval_64_vowels_count,incoder,keep,0.00,NA,NA
swift,HumanEval_139_special_factorial,davinci,remove,0.00,NA,NA
js,HumanEval_18_how_many_times,incoder,keep,0.56,NA,NA
jl,HumanEval_39_prime_fib,incoder,transform,0.00,NA,NA
rb,HumanEval_94_skjkasdkd,incoder,reworded,0.00,0.00,0.00
d,HumanEval_57_monotonic,davinci,reworded,0.73,0.90,1.00
